RespondentID,List the top three characteristics that you feel best describe a creative student. - 1.,List the top three characteristics that you feel best describe a creative student. - 2.,List the top three characteristics that you feel best describe a creative student. - 3.,take_risks,learn_from_exp,confident,happy,inquisitive,divergent_thinking,aesthete,growth_mindset,lateral_thinking,initiative,responsible,motivated,problem_solver,focussed,playful,originality,improvises,flexibility,persistant,knowledge,skills,thoughtful,open_minded,collaborative,intelligent,flighty,expressive,resilient,critical_thinking,convergent_thinking,productive,sensitive,may_be_hesitant,gets_bored_with_curriculum,patient,resourceful,relaxed,tactile,spontaneity,challenge_assumptions,empathic,insightful
4799954507,Imaginative,Risk taking,Productive,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
4799688409,Imaginative,Inventive,Thinker,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
4799684480,Innovative,Problem-solver,Lateral thinker,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4799521738,Commitment,Perseverance,Imagination,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
4799490003,Knowledgable,Motivated,Confident,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
4799292172,Intellectually curious,sensitive,confident taking risks,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
4799259306,growth mindset,Thinker,Innovator,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
4799204885,sensitive,intelligent,confident,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
4799189691,Ability to think outside the box,Able to solve unfamiliar problems,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4799092754,curious,risk taker,adaptable,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4798977660,Inventive,Imaginative,Risk taker,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4797333942,openess to learning,curious,making connections,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
4797240836,thinks before answering,listening to others,takes risks,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
4797205529,able to cope with boredom,doesn't always accept or use 'one' way of solving a problem,gets absorbed in tasks,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4797088784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4796871448,Unique,willingness,eager,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4796856305,Divergent thought processes,Non-linear thought patterns,Strong vocabulary,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
4796812826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4796805802,Uses initiative,Produces work different to others,Patience and thoughtful,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
4796790061,flexible thinking,not giving up,generating ideas,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
4796770818,Thinks outside the box,Asks questions,Not afraid to experiment,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4796761294,Engaged,Imaginative,Creative,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4796757465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4796726453,free thinker,feels able to do what they want to,no constraints for their ideas,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4796661425,open minded,risk taker,resilient,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
4796651489,Takes risks.,Can sometimes be hesitant to let their creativeness out.,Can become bored with the curriculum as it does not cater for creative students.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
4796640956,inventiveness,imagination,originality,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4796606653,brave,imaginative,honest,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4796585416,Looks at an idea from a range of perspectives.,Has original ideas.,Is able to communicate their ideas. ,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
4796538318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4796489727,initiative,persistence,Accepting failure/mistakes,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
4796439818,imaginative,risk taker,happy,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4796401507,Innovative,Resourceful,Patient,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,
4796388876,Open to new ideas,Willing to give things a go,perseverance,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
4796387830,Imaginitive,Free thinking,Uninhibited ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4796373825,makes connections,can explore relationships,comes up with different solutions to problems,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4796123899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4795754727,courage,persistence,resilience,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
4795572576,Confident,Happy,Relaxed,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
4794797283,persistent,risk takers,ask questions,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
4794516436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4794466080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4794441084,open mindedness,risk taking,playful,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
4794345553,Thinks outside the square,Asks questions,persistent,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
4794296102,Individual ,Risk taker,Own thinking,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4794252610,openended thinking,problem solving ability,imagination,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4794189589,flexible in thought,resilient  ,questioning,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
4794164612,Resilience,Problem Solving,Questioning ,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
4794161873,Open,Growth mindset,Inquisitive,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
4794130252,Asks questions,Challenges Ideas,Think of mulitple solutions,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
4794125276,Risk taker,Confident,Thinks about things in different ways,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4794124046,Inquisitive,Resilient,Experimental,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
4794122605,thinks outside the square,explories possibilities,likes to be original,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4794083561,growth mindset,shows initiative,problem solver,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4794072039,risk takers,critical thinkers,collaborators,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
4794066841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4794064761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4794057595,Growth mindset,Open thinking,Tactile ,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
4794015122,Enthusiastic,Willing,Resilient,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
4794007905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4794007139,Informed,Articulate,educated,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,
4794000352,critical thinking,individual thought,spontaneity,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,
4794000346,divergent thinking,risk taker,self belief,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4793996609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4793995288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4793986793,thoughtful,enthusiastic,risk taker,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
4793985225,flexible,resilent,persistent,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,
4793963452,imaginative,perserverance,brave,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
4793946198,challenges assumption/questions,takes multiple perspectives to a problem,trusts own judgement,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4793930590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4793927547,Imaginative,Innovative,Driven,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4793926790,Good Problem Solver,Divergent Thinker,Confident,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4793910495,Problem solver,Thinks out side the square,Doesn't let failure get them down,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
4757865112,initiative,empathic,reforming and refining,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
4757808924,thinks outside the square,comes up with solutions that others haven't thought of,"creativity can be shown through art, language, solving problems etc.",,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
4757301316,expressive,deep thinking,curious,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
4757240281,flexibility of thinking,adaptability to change,exploration of possibilities,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
4751882620,interested in topic,strong world aspect,intelligent,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
4751595791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4750106957,lateral thinking,colourful,enthusiastic,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
4749766613,Willingness to fail.,Willingness to take risks.,"Willingness to think of different ways something can be done, not just do the obvious.",1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4749732375,Inventive,Insightful,Motivated,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
4749709897,"willing to have a go, risk taker, brave with learning",wealth of ideas,"tries out alternatives, experiments ",1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
