oldname,newname,invert
"In your opinion, for each of these school subjects, how likely is it for a student to use or show his/her creativity?<br><br>From <strong>1</strong>-<em>Not at all</em> to <strong>5</strong>-<em>Extremely likely<br><br></em> - 3. Music education",creativity.music,NA
"In your opinion, for each of these school subjects, how likely is it for a student to use or show his/her creativity?<br><br>From <strong>1</strong>-<em>Not at all</em> to <strong>5</strong>-<em>Extremely likely<br><br></em> - 4. Science",creativity.science,NA
"In your opinion, for each of these school subjects, how likely is it for a student to use or show his/her creativity?<br><br>From <strong>1</strong>-<em>Not at all</em> to <strong>5</strong>-<em>Extremely likely<br><br></em> - 5. English",creativity.english,NA
"In your opinion, for each of these school subjects, how likely is it for a student to use or show his/her creativity?<br><br>From <strong>1</strong>-<em>Not at all</em> to <strong>5</strong>-<em>Extremely likely<br><br></em> - 6. Geography",creativity.geography,NA
"In your opinion, for each of these school subjects, how likely is it for a student to use or show his/her creativity?<br><br>From <strong>1</strong>-<em>Not at all</em> to <strong>5</strong>-<em>Extremely likely<br><br></em> - 7. History",creativity.history,NA
"In your opinion, for each of these school subjects, how likely is it for a student to use or show his/her creativity?<br><br>From <strong>1</strong>-<em>Not at all</em> to <strong>5</strong>-<em>Extremely likely<br><br></em> - 8. Foreign Language",creativity.foreign_language,NA
"In your opinion, for each of these school subjects, how likely is it for a student to use or show his/her creativity?<br><br>From <strong>1</strong>-<em>Not at all</em> to <strong>5</strong>-<em>Extremely likely<br><br></em> - 9. Technology",creativity.technology,NA
Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 1. I feel like I have too much content to cover.,knowledge.too_much_content,1
Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 2. Students learn best by finding solutions to problems on their own.,knowledge.student_find_solution,1
"Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 3. If students donêt understand material right away, repeating the same material usually doesnêt help.",delete.repeating_does_not_help,NA
Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 4. Smart students donêt have to study very hard to get good grades.,knowledge.smart_no_study,0
Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 5. Effective/good teachers demonstrate the correct way to solve a problem.,knowledge.teachers_demonstrate_way,0
Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 6. It is more important to me to make sure that the students learn the basics well than covering the Curriculum.,knowledge.basics_not_curriculum,1
Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 7. Successful students learn things quickly.,knowledge.successful_quick_learners,0
"Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 8. If a student tries too hard to understand a problem, they will most likely just end up being confused.",knowledge.try_hard_confused,0
What is your definition of creativity? - Open-Ended Response,define_creativity_free,NA
List the top three characteristics that you feel best describe a creative student. - 1.,define_creative_student_1_free,NA
List the top three characteristics that you feel best describe a creative student. - 2.,define_creative_student_2_free,NA
List the top three characteristics that you feel best describe a creative student. - 3.,define_creative_student_3_free,NA
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 1. Creativity can be taught.,conceptionofcreativity.creativity_taught,1
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 2. I feel like I have too much content to cover.,delete.too_much_content,NA
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 3. Students learn best by finding solutions to problems on their own.,delete.students_find_solutions,NA
"We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 3. If students donêt understand material right away, repeating the same material usually doesnêt help.",delete.repeating_does_not_help,NA
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 4. Smart students donêt have to study very hard to get good grades.,delete.smart_no_study,NA
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 6. Effective/good teachers demonstrate the correct way to solve a problem.,delete.teachers_demonstrate_way,NA
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 7. It is more important to me to make sure that the students learn the basics well than covering the syllabus.,delete.basics_not_syllabus,NA
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 2. Creativity is a characteristic of all students and is not a rare phenomenon.,conceptionofcreativity.common_creativity,1
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 3. Teachers must have knowledge about creativity.,conceptionofcreativity.know_about_creativity,1
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 4. Student creativity can be developed in the classroom.,conceptionofcreativity.creativity_developed,1
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 5. Creativity is essential for enhancing student academic learning in schools.,conceptionofcreativity.creativity_essential,1
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 6. It is the responsibility of the regular classroom teacher to help students develop creativity.,conceptionofcreativity.teacher_responsible_creativity,1
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 7. I employ many methods in my classroom to foster creativity.,explicitmethods.i_foster_creativity,1
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 8. The school where I teach places emphasis on fostering student creativity.,difficulty.school_fosters_creativity,0
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 9. I feel well-trained to facilitate creativity to students.,difficulty.i_can_facilitate_creativity,0
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 10. Creativity depends on possessing a high degree of prior knowledge.,conceptionofcreativity.creativity_needs_knowledge,1
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 11. Creativity can be assessed.,conceptionofcreativity.assess_creativity,1
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 12. I feel like there is enough lesson time for activities that promote creative thinking in my students.,difficulty.enough_time_for_creativity,0
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 13. I learned about creativity in my teaching training.,difficulty.creativity_teacher_training,0
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 14. I feel like I have the necessary resources to implement creative activities in my classroom.,difficulty.enough_resources_creativity,0
"We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 15. Creativity is only relevant to visual arts, music, drama and artistic performance.",conceptionofcreativity.creativity_for_arts_only,0
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 16. Creativity is an inborn talent.,conceptionofcreativity.creativity_inborn,0
"We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 17. In school, students have many opportunities to express their creativity.",conceptionofcreativity.students_can_express_creativity,1
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 18. Students have enough time to demonstrate their creativity in the classroom.,difficulty.students_can_demonstrate_creativity,0
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 19. I feel well trained to recognise the creative achievements of my students.,difficulty.recognise_creativity,0
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 20. I feel like I have enough time to prepare activities that promote creative thinking in my students.,difficulty.creativity_activities,0
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 21. I know how to test for creativity.,difficulty.know_test_creativity,0
We would now like to ask you what you think about creativity and knowledge. Please indicate if you agree with the following statements.<br><br>(1) <em>Strongly Disagree</em> - (2) <em>Disagree</em> - (3) <em>Neutral</em> - (4) <em>Agree</em> - (5) <em>Strongly Agree<br><br></em> - 22. I know who the most creative students in my class are.,difficulty.know_creative_students,0
How would you rate your own creativity?,self_rating_creativity,NA
What proportion of your students do you consider to be...<br><em>Please give an answer in %</em> - Not creative at all,proportion.not_creative,NA
What proportion of your students do you consider to be...<br><em>Please give an answer in %</em> - Somewhat creative,proportion.somewhat_creative,NA
What proportion of your students do you consider to be...<br><em>Please give an answer in %</em> - Quite creative,proportion.quite_creative,NA
What proportion of your students do you consider to be...<br><em>Please give an answer in %</em> - Highly creative,proportion.highly_creative,NA
"In your opinion, what are the biggest barriers to promoting student creativity at school? - Open-Ended Response",barriers_to_creativity_free,NA
Barriers Code,barrier.time,NA
Barriers Code,barrier.curriculum,NA
Barriers Code,barrier.hard_to_plan,NA
Barriers Code,barrier.standardised_tests,NA
Barriers Code,barrier.school_culture,NA
Barriers Code,barrier.resources,NA
Barriers Code,barrier.student_disposition,NA
Barriers Code,barrier.no_extracurricular,NA
Barriers Code,barrier.lack_of_training,NA
Barriers Code,barrier.parents,NA
"Have you ever attended courses, workshops or seminars on fostering creativity in your students?",courses_on_creativity,NA
"Have you ever attended courses, workshops or seminars on fostering creativity in your students? - Comment",courses_on_creativity_free,NA
Let us know if you have any other comments. - Open-Ended Response,comments_free,NA
